BA,Month,Hour,Transportation_Load_Penetration_Percentage
BANC,4,4,5.7
BANC,4,4,4.94
BANC,4,4,4.42
BANC,4,4,3.86
BANC,4,4,3.58
BANC,4,4,3.21
BANC,4,4,2.96
BANC,4,4,3.9
BANC,4,4,4.88
BANC,4,4,6.73
BANC,4,4,6.79
BANC,4,4,6.26
BANC,4,4,5.75
BANC,4,4,5.73
BANC,4,4,5.91
BANC,4,4,5.76
BANC,4,4,6.46
BANC,4,4,7.17
BANC,5,5,7.02
BANC,5,5,7.6
BANC,5,5,6.9
BANC,5,5,6.52
BANC,5,5,6.55
BANC,5,5,5.71
BANC,5,5,5.32
BANC,5,5,4.33
BANC,5,5,3.75
BANC,5,5,3.39
BANC,5,5,3.15
BANC,5,5,2.84
BANC,5,5,2.96
BANC,5,5,3.58
BANC,5,5,5.17
BANC,5,5,7.13
BANC,5,5,6.92
BANC,5,5,6.34
BANC,5,5,5.84
BANC,5,5,5.68
BANC,5,5,5.29
BANC,5,5,5.19
BANC,5,5,5.49
BANC,5,5,6.1
BANC,6,6,5.12
BANC,6,6,5.66
BANC,6,6,5.68
BANC,6,6,4.96
BANC,6,6,4.71
BANC,6,6,4.47
BANC,6,6,4.22
BANC,6,6,3.58
BANC,6,6,3.11
BANC,6,6,2.84
BANC,6,6,2.64
BANC,6,6,2.51
BANC,6,6,2.63
BANC,6,6,3.35
BANC,6,6,4.8
BANC,6,6,6.44
BANC,6,6,6.08
BANC,6,6,5.03
BANC,6,6,4.39
BANC,6,6,4.14
BANC,6,6,3.93
BANC,6,6,3.59
BANC,6,6,3.91
BANC,6,6,4.6
BANC,7,7,4.56
BANC,7,7,5.02
BANC,7,7,5.14
BANC,7,7,4.74
BANC,7,7,4.25
BANC,7,7,4.18
BANC,7,7,3.84
BANC,7,7,3.25
BANC,7,7,2.88
BANC,7,7,2.65
BANC,7,7,2.47
BANC,7,7,2.36
BANC,7,7,2.62
BANC,7,7,3.61
BANC,7,7,4.41
BANC,7,7,5.86
BANC,7,7,5.64
BANC,7,7,4.75
BANC,7,7,4.06
BANC,7,7,3.88
BANC,7,7,4.42
BANC,7,7,3.81
BANC,7,7,3.64
BANC,7,7,3.95
BANC,8,8,5.19
BANC,8,8,5.66
BANC,8,8,6.03
BANC,8,8,5.16
BANC,8,8,4.79
BANC,8,8,4.87
BANC,8,8,4.95
BANC,8,8,3.93
BANC,8,8,3.47
BANC,8,8,3.31
BANC,8,8,2.94
BANC,8,8,2.7
BANC,8,8,2.81
BANC,8,8,3.42
BANC,8,8,4.91
BANC,8,8,6.81
BANC,8,8,6.36
BANC,8,8,5.27
BANC,8,8,4.63
BANC,8,8,4.32
BANC,8,8,4.02
BANC,8,8,3.7
BANC,8,8,3.94
BANC,8,8,4.33
BANC,9,9,6.14
BANC,9,9,7.58
BANC,9,9,7.08
BANC,9,9,5.86
BANC,9,9,5.35
BANC,9,9,5.16
BANC,9,9,4.79
BANC,9,9,3.99
BANC,9,9,3.48
BANC,9,9,3.15
BANC,9,9,2.86
BANC,9,9,2.65
BANC,9,9,2.75
BANC,9,9,3.54
BANC,9,9,5.34
BANC,9,9,7.06
BANC,9,9,6.32
BANC,9,9,5.68
BANC,9,9,5.06
BANC,9,9,4.83
BANC,9,9,4.77
BANC,9,9,4.55
BANC,9,9,4.87
BANC,9,9,5.87
BANC,10,10,7.48
BANC,10,10,8.56
BANC,10,10,8.03
BANC,10,10,7.43
BANC,10,10,6.4
BANC,10,10,5.99
BANC,10,10,5.5
BANC,10,10,4.63
BANC,10,10,4.02
BANC,10,10,3.66
BANC,10,10,3.36
BANC,10,10,3.42
BANC,10,10,3.05
BANC,10,10,3.84
BANC,10,10,5.58
BANC,10,10,7.62
BANC,10,10,6.98
BANC,10,10,6.26
BANC,10,10,5.69
BANC,10,10,5.43
BANC,10,10,5.47
